timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-08,0.00033830,0.00034440,0.00033110,0.00034050,5568959.52000000,1528502399999,1876.42443985,21825,3031132.68000000,1021.25982245,0
2018-06-09,0.00034050,0.00034180,0.00032550,0.00032750,5654447.60000000,1528588799999,1876.50245752,19657,2938365.58000000,975.26971559,0
2018-06-10,0.00032750,0.00032840,0.00030670,0.00031240,8719146.01000000,1528675199999,2776.01737604,30500,4046615.13000000,1289.11846942,0
2018-06-11,0.00031200,0.00031690,0.00030100,0.00031330,6927727.15000000,1528761599999,2149.34928887,26221,3526486.86000000,1094.85568057,0
2018-06-12,0.00031290,0.00031400,0.00028210,0.00028830,5247132.96000000,1528847999999,1566.71056296,33762,2389192.49000000,713.87807080,0
2018-06-13,0.00028860,0.00032290,0.00028290,0.00031530,16498349.64000000,1528934399999,5001.27611571,74326,8601531.60000000,2609.87581467,0
2018-06-14,0.00031510,0.00035740,0.00031200,0.00034590,18842914.16000000,1529020799999,6259.93859938,81622,10293498.95000000,3426.03204766,0
2018-06-15,0.00034550,0.00034600,0.00031000,0.00031110,13164218.38000000,1529107199999,4338.01478174,52548,7351289.28000000,2426.75461108,0
2018-06-16,0.00031150,0.00031490,0.00028980,0.00031130,14296211.87000000,1529193599999,4405.47301866,58615,7676955.84000000,2370.14197351,0
2018-06-17,0.00031180,0.00032060,0.00030600,0.00030790,10934392.46000000,1529279999999,3424.43871194,31649,6363675.51000000,1993.90350640,0
2018-06-18,0.00030800,0.00032200,0.00030110,0.00031490,11843597.35000000,1529366399999,3665.24008522,37416,6885333.59000000,2131.36416062,0
2018-06-19,0.00031510,0.00032300,0.00030730,0.00031150,9637467.33000000,1529452799999,3008.76624047,28625,4847236.28000000,1513.64393120,0
2018-06-20,0.00031150,0.00031560,0.00030500,0.00030760,11101159.88000000,1529539199999,3444.65673457,32125,5970223.85000000,1853.05014716,0
2018-06-21,0.00030760,0.00031190,0.00029220,0.00029680,11550955.45000000,1529625599999,3495.03236476,34996,5790490.06000000,1751.95963957,0
2018-06-22,0.00029680,0.00030210,0.00028470,0.00029460,13126286.33000000,1529711999999,3837.87325747,39659,7294796.67000000,2134.65816435,0
2018-06-23,0.00029490,0.00029560,0.00027920,0.00028370,10549955.98000000,1529798399999,3016.07012060,27282,5680267.97000000,1625.08543517,0
2018-06-24,0.00028360,0.00028550,0.00025010,0.00025580,13034170.66000000,1529884799999,3490.34738675,45623,6871944.91000000,1840.49825369,0
2018-06-25,0.00025580,0.00026770,0.00025250,0.00025990,12298338.23000000,1529971199999,3202.95254576,33560,6794255.96000000,1769.46741814,0
2018-06-26,0.00026000,0.00026510,0.00024110,0.00024220,7683770.06000000,1530057599999,1948.36317515,24299,3661768.43000000,928.35616207,0
2018-06-27,0.00024250,0.00025000,0.00023740,0.00024680,10096771.02000000,1530143999999,2462.95784907,24425,5419471.80000000,1322.15013086,0
